episode,reward,electricity_cost,carbon_emissions,ramping,load_factor,daily_peak,comfort_violation
1,-4127.602707617973,0.0,0.0,0.0,0.0,0.0,0.0
2,-3241.33862390799,0.0,0.0,0.0,0.0,0.0,0.0
3,-1908.5788517092767,0.0,0.0,0.0,0.0,0.0,0.0
4,-2977.4101512562524,0.0,0.0,0.0,0.0,0.0,0.0
5,-3516.557457154381,0.0,0.0,0.0,0.0,0.0,0.0
6,-2634.593647398325,0.0,0.0,0.0,0.0,0.0,0.0
7,-2136.6970250228833,0.0,0.0,0.0,0.0,0.0,0.0
8,-1579.3255082140713,0.0,0.0,0.0,0.0,0.0,0.0
9,-1922.8926780168567,0.0,0.0,0.0,0.0,0.0,0.0
10,-2467.1191245508144,0.0,0.0,0.0,0.0,0.0,0.0
11,-3373.0207042526454,0.0,0.0,0.0,0.0,0.0,0.0
12,-3105.2585855193056,0.0,0.0,0.0,0.0,0.0,0.0
13,-2670.5741440101237,0.0,0.0,0.0,0.0,0.0,0.0
14,-2241.0402294852756,0.0,0.0,0.0,0.0,0.0,0.0
15,-2277.732271835794,0.0,0.0,0.0,0.0,0.0,0.0
16,-2437.942239459093,0.0,0.0,0.0,0.0,0.0,0.0
17,-1796.3839797785904,0.0,0.0,0.0,0.0,0.0,0.0
18,-2056.4038446579552,0.0,0.0,0.0,0.0,0.0,0.0
19,-2562.6862490655803,0.0,0.0,0.0,0.0,0.0,0.0
20,-3452.939726999961,0.0,0.0,0.0,0.0,0.0,0.0
21,-3136.3197156082592,0.0,0.0,0.0,0.0,0.0,0.0
22,-2635.7683768588295,0.0,0.0,0.0,0.0,0.0,0.0
23,-2237.353043900902,0.0,0.0,0.0,0.0,0.0,0.0
24,-2170.1906509056435,0.0,0.0,0.0,0.0,0.0,0.0
25,-3362.480055717841,0.0,0.0,0.0,0.0,0.0,0.0
26,-3719.220679888266,0.0,0.0,0.0,0.0,0.0,0.0
27,-2881.4822759642657,0.0,0.0,0.0,0.0,0.0,0.0
28,-2263.7003954696143,0.0,0.0,0.0,0.0,0.0,0.0
29,-1615.5478000819999,0.0,0.0,0.0,0.0,0.0,0.0
30,-1932.8997736711217,0.0,0.0,0.0,0.0,0.0,0.0
31,-2677.7346958979465,0.0,0.0,0.0,0.0,0.0,0.0
32,-2169.5004379847287,0.0,0.0,0.0,0.0,0.0,0.0
33,-2143.9197716655335,0.0,0.0,0.0,0.0,0.0,0.0
34,-3240.817101583521,0.0,0.0,0.0,0.0,0.0,0.0
35,-3765.0298509960976,0.0,0.0,0.0,0.0,0.0,0.0
36,-2813.862213005217,0.0,0.0,0.0,0.0,0.0,0.0
37,-2201.4749815214,0.0,0.0,0.0,0.0,0.0,0.0
38,-1595.4026341061144,0.0,0.0,0.0,0.0,0.0,0.0
39,-2050.4162582298068,0.0,0.0,0.0,0.0,0.0,0.0
40,-2599.7319744402735,0.0,0.0,0.0,0.0,0.0,0.0
41,-3548.449159557931,0.0,0.0,0.0,0.0,0.0,0.0
42,-3238.809169349547,0.0,0.0,0.0,0.0,0.0,0.0
43,-2655.847516674476,0.0,0.0,0.0,0.0,0.0,0.0
44,-2179.7642178771016,0.0,0.0,0.0,0.0,0.0,0.0
45,-2094.589965311474,0.0,0.0,0.0,0.0,0.0,0.0
46,-2146.36658182608,0.0,0.0,0.0,0.0,0.0,0.0
47,-1565.4484642599373,0.0,0.0,0.0,0.0,0.0,0.0
48,-1965.2414168376763,0.0,0.0,0.0,0.0,0.0,0.0
49,-2496.8565223381115,0.0,0.0,0.0,0.0,0.0,0.0
50,-3397.3889596974477,0.0,0.0,0.0,0.0,0.0,0.0
51,-3073.7190172292517,0.0,0.0,0.0,0.0,0.0,0.0
52,-2590.560679378844,0.0,0.0,0.0,0.0,0.0,0.0
53,-2129.632616404576,0.0,0.0,0.0,0.0,0.0,0.0
54,-2083.8433152974103,0.0,0.0,0.0,0.0,0.0,0.0
55,-3206.9830671635077,0.0,0.0,0.0,0.0,0.0,0.0
56,-3690.278340308343,0.0,0.0,0.0,0.0,0.0,0.0
57,-2722.220558530808,0.0,0.0,0.0,0.0,0.0,0.0
58,-2140.511953397012,0.0,0.0,0.0,0.0,0.0,0.0
59,-1588.562736995274,0.0,0.0,0.0,0.0,0.0,0.0
60,-1989.102307084777,0.0,0.0,0.0,0.0,0.0,0.0
61,-2616.8467451036067,0.0,0.0,0.0,0.0,0.0,0.0
62,-2145.995125947382,0.0,0.0,0.0,0.0,0.0,0.0
63,-2037.3682963637468,0.0,0.0,0.0,0.0,0.0,0.0
64,-3187.520761412672,0.0,0.0,0.0,0.0,0.0,0.0
65,-3704.728593416162,0.0,0.0,0.0,0.0,0.0,0.0
66,-2750.1676124394107,0.0,0.0,0.0,0.0,0.0,0.0
67,-2170.902578085842,0.0,0.0,0.0,0.0,0.0,0.0
68,-1631.5493251626463,0.0,0.0,0.0,0.0,0.0,0.0
69,-1952.7587573706487,0.0,0.0,0.0,0.0,0.0,0.0
70,-2532.8356066655797,0.0,0.0,0.0,0.0,0.0,0.0
71,-3501.9291944587603,0.0,0.0,0.0,0.0,0.0,0.0
72,-3156.2188156646253,0.0,0.0,0.0,0.0,0.0,0.0
73,-2587.764454287369,0.0,0.0,0.0,0.0,0.0,0.0
74,-2133.053531456694,0.0,0.0,0.0,0.0,0.0,0.0
75,-2060.959501478619,0.0,0.0,0.0,0.0,0.0,0.0
76,-2189.5870895100297,0.0,0.0,0.0,0.0,0.0,0.0
77,-1634.0593713925432,0.0,0.0,0.0,0.0,0.0,0.0
78,-1964.263483717044,0.0,0.0,0.0,0.0,0.0,0.0
79,-2518.7577533145068,0.0,0.0,0.0,0.0,0.0,0.0
80,-3443.458047566004,0.0,0.0,0.0,0.0,0.0,0.0
81,-3137.0511939417165,0.0,0.0,0.0,0.0,0.0,0.0
82,-2566.318679426689,0.0,0.0,0.0,0.0,0.0,0.0
83,-2229.9490192120174,0.0,0.0,0.0,0.0,0.0,0.0
84,-2139.171819304567,0.0,0.0,0.0,0.0,0.0,0.0
85,-3300.8451430742284,0.0,0.0,0.0,0.0,0.0,0.0
86,-3875.9511248845356,0.0,0.0,0.0,0.0,0.0,0.0
87,-2825.2926761543317,0.0,0.0,0.0,0.0,0.0,0.0
88,-2232.1120753914065,0.0,0.0,0.0,0.0,0.0,0.0
89,-1626.608301429886,0.0,0.0,0.0,0.0,0.0,0.0
90,-1973.1217210683394,0.0,0.0,0.0,0.0,0.0,0.0
91,-2557.180416560891,0.0,0.0,0.0,0.0,0.0,0.0
92,-2155.3875836823927,0.0,0.0,0.0,0.0,0.0,0.0
93,-2110.8693511532783,0.0,0.0,0.0,0.0,0.0,0.0
94,-3314.433452762834,0.0,0.0,0.0,0.0,0.0,0.0
95,-3837.7253975808844,0.0,0.0,0.0,0.0,0.0,0.0
96,-2849.4231695114113,0.0,0.0,0.0,0.0,0.0,0.0
97,-2293.7257226207857,0.0,0.0,0.0,0.0,0.0,0.0
98,-1652.8351699369855,0.0,0.0,0.0,0.0,0.0,0.0
99,-2033.4260074971758,0.0,0.0,0.0,0.0,0.0,0.0
100,-2559.45898636764,0.0,0.0,0.0,0.0,0.0,0.0
101,-3423.694641993381,0.0,0.0,0.0,0.0,0.0,0.0
102,-3131.46833827512,0.0,0.0,0.0,0.0,0.0,0.0
103,-2595.0193374901255,0.0,0.0,0.0,0.0,0.0,0.0
104,-2166.159371372504,0.0,0.0,0.0,0.0,0.0,0.0
105,-2110.640232873172,0.0,0.0,0.0,0.0,0.0,0.0
106,-2253.659462867864,0.0,0.0,0.0,0.0,0.0,0.0
107,-1656.412273433495,0.0,0.0,0.0,0.0,0.0,0.0
108,-2017.9711032826567,0.0,0.0,0.0,0.0,0.0,0.0
109,-2548.6523258528614,0.0,0.0,0.0,0.0,0.0,0.0
110,-3405.439653129317,0.0,0.0,0.0,0.0,0.0,0.0
111,-3218.9136354663924,0.0,0.0,0.0,0.0,0.0,0.0
112,-2587.510204231291,0.0,0.0,0.0,0.0,0.0,0.0
113,-2245.01640109225,0.0,0.0,0.0,0.0,0.0,0.0
114,-2082.6947647772745,0.0,0.0,0.0,0.0,0.0,0.0
115,-3358.690633282124,0.0,0.0,0.0,0.0,0.0,0.0
116,-3769.966562469489,0.0,0.0,0.0,0.0,0.0,0.0
117,-2841.412861208458,0.0,0.0,0.0,0.0,0.0,0.0
118,-2283.7732779468042,0.0,0.0,0.0,0.0,0.0,0.0
119,-1661.3416807614758,0.0,0.0,0.0,0.0,0.0,0.0
120,-2003.9258913356362,0.0,0.0,0.0,0.0,0.0,0.0
121,-2642.0953711357865,0.0,0.0,0.0,0.0,0.0,0.0
122,-2227.8740782141876,0.0,0.0,0.0,0.0,0.0,0.0
123,-2174.1280556223364,0.0,0.0,0.0,0.0,0.0,0.0
124,-3347.851412984481,0.0,0.0,0.0,0.0,0.0,0.0
125,-3854.5583620542884,0.0,0.0,0.0,0.0,0.0,0.0
126,-2890.1441539171146,0.0,0.0,0.0,0.0,0.0,0.0
127,-2301.672211075044,0.0,0.0,0.0,0.0,0.0,0.0
128,-1651.0653130127562,0.0,0.0,0.0,0.0,0.0,0.0
129,-1997.810881151823,0.0,0.0,0.0,0.0,0.0,0.0
130,-2588.514539650735,0.0,0.0,0.0,0.0,0.0,0.0
131,-3572.104684916325,0.0,0.0,0.0,0.0,0.0,0.0
132,-3274.1537241921683,0.0,0.0,0.0,0.0,0.0,0.0
133,-2699.6175292624816,0.0,0.0,0.0,0.0,0.0,0.0
134,-2271.7537161352766,0.0,0.0,0.0,0.0,0.0,0.0
135,-2162.5045331471456,0.0,0.0,0.0,0.0,0.0,0.0
136,-2299.0655338830134,0.0,0.0,0.0,0.0,0.0,0.0
137,-1676.1313266383836,0.0,0.0,0.0,0.0,0.0,0.0
138,-2064.2501278475747,0.0,0.0,0.0,0.0,0.0,0.0
139,-2680.5615933970503,0.0,0.0,0.0,0.0,0.0,0.0
140,-3594.8901228355244,0.0,0.0,0.0,0.0,0.0,0.0
141,-3303.3039682335866,0.0,0.0,0.0,0.0,0.0,0.0
