episode,step,elapsed_s,reward,electricity_cost,carbon_emissions,ramping,load_factor,daily_peak,comfort_violation,actor_loss,critic_loss,entropy,kl_approx
1,720,2.0,-45.657514777965844,6197.944399603165,9134.426704076766,17.147179900275336,0.4252978592644341,128.0264434814453,0.0,-0.0634902753517963,4.3093157559633255,7.095389366149902,1.0737011209130287
2,1440,4.0,-44.9703897703439,6106.853362508557,8928.8751138258,17.637630314297148,0.45423133470666505,117.17399597167969,0.0,-0.01756571960868314,9.052956581115723,7.093065053224564,1.0717851743102074
3,2160,6.0,-44.29834206728265,5977.474821739387,8795.179882824648,17.325873525275124,0.4369584562003401,119.98201751708984,0.0,-0.013848930189851671,9.945672273635864,7.088113635778427,1.0711523294448853
4,2880,8.0,-45.28248757775873,6182.193469105926,9074.91524651289,16.946281733777788,0.45434992601448587,119.05940246582031,0.0,0.018887264421209693,9.73025330901146,7.080130010843277,1.0716593712568283
5,3600,10.0,-46.929192760027945,6461.500572214057,9500.31729067994,16.72404987282223,0.48413694991541223,116.97187805175781,0.0,0.09502048115245998,12.310431241989136,7.082381963729858,1.0700537078082561
6,4320,12.0,-43.10343422740698,5966.409061324792,8787.928174183371,14.776084040270911,0.4907224645021298,106.74858856201172,0.0,-0.029462033096933737,9.947368264198303,7.08474799990654,1.0722032114863396
7,5040,14.2,-45.19612498302013,6205.536195725897,9140.613986872428,16.18128762576315,0.47995825020480865,113.52290344238281,0.0,0.026899096817942336,9.750921666622162,7.079490631818771,1.0712913498282433
8,5760,16.2,-39.913630538620055,5427.497732256774,7979.677163424552,15.103363546894656,0.4465091496366605,106.52867889404297,0.0,-0.04937356145819649,11.402341723442078,7.074723958969116,1.0691227987408638
9,6480,18.3,-41.844367349520326,5689.704420649506,8356.370530424123,15.948527232805889,0.45548635643602264,109.35884094238281,0.0,-0.022390015656128526,9.866613864898682,7.078605264425278,1.0736088044941425
10,7200,20.4,-38.22421429678798,5178.311496863325,7616.507586409804,14.701767565806707,0.4431801687418732,102.44414520263672,0.0,-0.04976507573155686,9.636546075344086,7.084348142147064,1.07131964340806
11,7920,22.7,-40.53704729489982,5625.0602798514765,8265.183219924209,13.713760078615612,0.42325679304032926,116.40191650390625,0.0,-0.016310744802467525,7.189794480800629,7.079831033945084,1.0743112228810787
12,8640,24.9,-43.475409308448434,5980.136440501958,8837.973001931181,15.130575791994731,0.48163450237808697,109.3822021484375,0.0,0.12590355286374688,9.078085750341415,7.077910751104355,1.076143279671669
13,9360,26.9,-43.03487425390631,5926.826663453592,8735.05330881941,15.060746273398399,0.4639393700659613,112.23179626464844,0.0,0.08525569955236278,10.086441993713379,7.087850987911224,1.075614795088768
14,10080,29.0,-45.87453365698457,6390.821716328302,9422.552694463488,14.955293528901207,0.4559367926358471,123.19001770019531,0.0,0.19779866095632315,12.180446207523346,7.095182806253433,1.0807188153266907
15,10800,31.2,-39.46368397772312,5441.3048333222705,7976.115398027902,14.02667955160141,0.42168826494757133,112.74868774414062,0.0,-0.03503456964972429,9.935139775276184,7.094351023435593,1.0801464840769768
16,11520,33.1,-41.53098557051271,5740.316393006496,8447.700761953358,14.314182019233703,0.446547903379117,112.76700592041016,0.0,0.0011773110600188375,8.781138569116592,7.08968922495842,1.0792549476027489
17,12240,35.1,-42.516842504031956,5847.771259117995,8608.101814918524,15.05469692018297,0.4508005278944882,113.82418823242188,0.0,0.05055350065231323,9.09957230091095,7.09571236371994,1.0824383646249771
18,12960,37.1,-43.34588566888124,5990.671307317487,8859.579211260318,14.538406225045522,0.4508089537793427,117.14726257324219,0.0,0.08531001571100205,9.724735617637634,7.1063752472400665,1.086582325398922
19,13680,39.2,-46.101559864357114,6447.192159629477,9432.593216958992,15.492636468675402,0.4953554370591985,113.5078125,0.0,0.17679818719625473,13.838861346244812,7.109889715909958,1.087891161441803
