episode,reward,electricity_cost,carbon_emissions,ramping,load_factor,daily_peak,comfort_violation
1,-4274.469128587801,0.0,0.0,0.0,0.0,0.0,0.0
2,-3846.690240295362,0.0,0.0,0.0,0.0,0.0,0.0
3,-3843.780699198564,0.0,0.0,0.0,0.0,0.0,0.0
4,-4763.2363767234765,0.0,0.0,0.0,0.0,0.0,0.0
5,-5183.170556151306,0.0,0.0,0.0,0.0,0.0,0.0
6,-4437.292993437317,0.0,0.0,0.0,0.0,0.0,0.0
7,-3886.3614420247613,0.0,0.0,0.0,0.0,0.0,0.0
8,-3380.5971316298983,0.0,0.0,0.0,0.0,0.0,0.0
9,-3566.4727943855646,0.0,0.0,0.0,0.0,0.0,0.0
10,-4114.646881134728,0.0,0.0,0.0,0.0,0.0,0.0
11,-5084.865324196406,0.0,0.0,0.0,0.0,0.0,0.0
12,-4766.804102035684,0.0,0.0,0.0,0.0,0.0,0.0
13,-4369.2261426280165,0.0,0.0,0.0,0.0,0.0,0.0
14,-3989.9643200920764,0.0,0.0,0.0,0.0,0.0,0.0
15,-3842.3885010558593,0.0,0.0,0.0,0.0,0.0,0.0
16,-3741.197826920329,0.0,0.0,0.0,0.0,0.0,0.0
17,-3231.284234903202,0.0,0.0,0.0,0.0,0.0,0.0
18,-3503.2261333376764,0.0,0.0,0.0,0.0,0.0,0.0
19,-4066.24288625223,0.0,0.0,0.0,0.0,0.0,0.0
20,-4778.278902050108,0.0,0.0,0.0,0.0,0.0,0.0
21,-4551.0006490053365,0.0,0.0,0.0,0.0,0.0,0.0
22,-4263.544911818258,0.0,0.0,0.0,0.0,0.0,0.0
23,-3745.0539903772415,0.0,0.0,0.0,0.0,0.0,0.0
24,-3604.8657325249405,0.0,0.0,0.0,0.0,0.0,0.0
25,-4617.260532126528,0.0,0.0,0.0,0.0,0.0,0.0
26,-5029.714602009507,0.0,0.0,0.0,0.0,0.0,0.0
27,-4254.583658936321,0.0,0.0,0.0,0.0,0.0,0.0
28,-3523.533795070534,0.0,0.0,0.0,0.0,0.0,0.0
29,-3026.879077318779,0.0,0.0,0.0,0.0,0.0,0.0
30,-3252.6892743579965,0.0,0.0,0.0,0.0,0.0,0.0
31,-4075.586007214778,0.0,0.0,0.0,0.0,0.0,0.0
32,-3517.6675453905445,0.0,0.0,0.0,0.0,0.0,0.0
33,-3347.2884123157587,0.0,0.0,0.0,0.0,0.0,0.0
34,-4327.088911584609,0.0,0.0,0.0,0.0,0.0,0.0
35,-4767.909234884193,0.0,0.0,0.0,0.0,0.0,0.0
36,-3938.6350622586606,0.0,0.0,0.0,0.0,0.0,0.0
37,-3291.4807246322976,0.0,0.0,0.0,0.0,0.0,0.0
38,-2683.0190188671986,0.0,0.0,0.0,0.0,0.0,0.0
39,-2965.230521553553,0.0,0.0,0.0,0.0,0.0,0.0
40,-3582.244147220803,0.0,0.0,0.0,0.0,0.0,0.0
41,-4412.77705461625,0.0,0.0,0.0,0.0,0.0,0.0
42,-4152.633539442043,0.0,0.0,0.0,0.0,0.0,0.0
43,-3628.0273889878404,0.0,0.0,0.0,0.0,0.0,0.0
44,-3123.1476830397505,0.0,0.0,0.0,0.0,0.0,0.0
45,-2953.4257729156357,0.0,0.0,0.0,0.0,0.0,0.0
46,-3115.3079022240145,0.0,0.0,0.0,0.0,0.0,0.0
47,-2332.345617970463,0.0,0.0,0.0,0.0,0.0,0.0
48,-2704.9458567274473,0.0,0.0,0.0,0.0,0.0,0.0
49,-3257.924249556108,0.0,0.0,0.0,0.0,0.0,0.0
50,-4090.3629868309945,0.0,0.0,0.0,0.0,0.0,0.0
51,-3856.4036827985733,0.0,0.0,0.0,0.0,0.0,0.0
52,-3440.271075333082,0.0,0.0,0.0,0.0,0.0,0.0
53,-2827.4982996140234,0.0,0.0,0.0,0.0,0.0,0.0
54,-2660.4147617093795,0.0,0.0,0.0,0.0,0.0,0.0
55,-3720.018327513556,0.0,0.0,0.0,0.0,0.0,0.0
56,-4201.2819599723425,0.0,0.0,0.0,0.0,0.0,0.0
57,-3290.6421036715847,0.0,0.0,0.0,0.0,0.0,0.0
58,-2686.7473263411794,0.0,0.0,0.0,0.0,0.0,0.0
59,-1994.180845427762,0.0,0.0,0.0,0.0,0.0,0.0
60,-2337.2252458491625,0.0,0.0,0.0,0.0,0.0,0.0
61,-3048.5392193730304,0.0,0.0,0.0,0.0,0.0,0.0
62,-2508.0913784746836,0.0,0.0,0.0,0.0,0.0,0.0
63,-2326.1606655046526,0.0,0.0,0.0,0.0,0.0,0.0
64,-3403.930724271285,0.0,0.0,0.0,0.0,0.0,0.0
65,-3859.369257865237,0.0,0.0,0.0,0.0,0.0,0.0
66,-2905.5567412639366,0.0,0.0,0.0,0.0,0.0,0.0
67,-2373.916124322872,0.0,0.0,0.0,0.0,0.0,0.0
68,-1694.9499679545102,0.0,0.0,0.0,0.0,0.0,0.0
69,-1984.7908898992146,0.0,0.0,0.0,0.0,0.0,0.0
70,-2521.674850909011,0.0,0.0,0.0,0.0,0.0,0.0
71,-3392.2428047144786,0.0,0.0,0.0,0.0,0.0,0.0
72,-3135.4274099555055,0.0,0.0,0.0,0.0,0.0,0.0
73,-2660.9768529421835,0.0,0.0,0.0,0.0,0.0,0.0
74,-2154.0627205776873,0.0,0.0,0.0,0.0,0.0,0.0
75,-2123.0941824056217,0.0,0.0,0.0,0.0,0.0,0.0
76,-2210.355580603226,0.0,0.0,0.0,0.0,0.0,0.0
77,-1592.9439369607753,0.0,0.0,0.0,0.0,0.0,0.0
78,-1925.0000789199096,0.0,0.0,0.0,0.0,0.0,0.0
79,-2459.5521744191597,0.0,0.0,0.0,0.0,0.0,0.0
80,-3379.0848022559658,0.0,0.0,0.0,0.0,0.0,0.0
81,-3133.202222370018,0.0,0.0,0.0,0.0,0.0,0.0
82,-2593.35923675999,0.0,0.0,0.0,0.0,0.0,0.0
83,-2164.9428112086207,0.0,0.0,0.0,0.0,0.0,0.0
84,-2085.593682908345,0.0,0.0,0.0,0.0,0.0,0.0
85,-3210.9402440230924,0.0,0.0,0.0,0.0,0.0,0.0
86,-3731.536388477074,0.0,0.0,0.0,0.0,0.0,0.0
87,-2787.1708758842806,0.0,0.0,0.0,0.0,0.0,0.0
88,-2182.9035909566755,0.0,0.0,0.0,0.0,0.0,0.0
89,-1595.7604500129482,0.0,0.0,0.0,0.0,0.0,0.0
90,-1922.9844389551265,0.0,0.0,0.0,0.0,0.0,0.0
91,-2673.885715922499,0.0,0.0,0.0,0.0,0.0,0.0
92,-2177.4527791560604,0.0,0.0,0.0,0.0,0.0,0.0
93,-2075.8854405765414,0.0,0.0,0.0,0.0,0.0,0.0
94,-3201.957013938165,0.0,0.0,0.0,0.0,0.0,0.0
95,-3706.19841540395,0.0,0.0,0.0,0.0,0.0,0.0
96,-2819.278207763952,0.0,0.0,0.0,0.0,0.0,0.0
97,-2222.2157204279706,0.0,0.0,0.0,0.0,0.0,0.0
98,-1518.7031529498695,0.0,0.0,0.0,0.0,0.0,0.0
99,-1928.3736839109786,0.0,0.0,0.0,0.0,0.0,0.0
100,-2500.8091628160278,0.0,0.0,0.0,0.0,0.0,0.0
101,-3328.2724360832945,0.0,0.0,0.0,0.0,0.0,0.0
102,-3134.5055839554016,0.0,0.0,0.0,0.0,0.0,0.0
103,-2660.6849458306556,0.0,0.0,0.0,0.0,0.0,0.0
104,-2135.3698797305856,0.0,0.0,0.0,0.0,0.0,0.0
105,-2095.5701547842527,0.0,0.0,0.0,0.0,0.0,0.0
106,-2188.711371264237,0.0,0.0,0.0,0.0,0.0,0.0
107,-1579.032275221491,0.0,0.0,0.0,0.0,0.0,0.0
108,-1945.0446233402126,0.0,0.0,0.0,0.0,0.0,0.0
109,-2513.755413198839,0.0,0.0,0.0,0.0,0.0,0.0
110,-3377.501495317556,0.0,0.0,0.0,0.0,0.0,0.0
111,-3147.166521657229,0.0,0.0,0.0,0.0,0.0,0.0
112,-2654.9882291439408,0.0,0.0,0.0,0.0,0.0,0.0
113,-2097.27881763813,0.0,0.0,0.0,0.0,0.0,0.0
114,-2089.1058177758596,0.0,0.0,0.0,0.0,0.0,0.0
115,-3170.1962297645287,0.0,0.0,0.0,0.0,0.0,0.0
116,-3774.9582422760986,0.0,0.0,0.0,0.0,0.0,0.0
117,-2821.5573480759485,0.0,0.0,0.0,0.0,0.0,0.0
118,-2248.608953497761,0.0,0.0,0.0,0.0,0.0,0.0
119,-1555.013329660002,0.0,0.0,0.0,0.0,0.0,0.0
120,-1940.14866320819,0.0,0.0,0.0,0.0,0.0,0.0
121,-2625.112703319215,0.0,0.0,0.0,0.0,0.0,0.0
122,-2141.356808629368,0.0,0.0,0.0,0.0,0.0,0.0
123,-2080.059882659129,0.0,0.0,0.0,0.0,0.0,0.0
124,-3209.8287833807362,0.0,0.0,0.0,0.0,0.0,0.0
125,-3764.053071720872,0.0,0.0,0.0,0.0,0.0,0.0
126,-2830.0555441376455,0.0,0.0,0.0,0.0,0.0,0.0
127,-2240.4911987466685,0.0,0.0,0.0,0.0,0.0,0.0
128,-1590.9163652909583,0.0,0.0,0.0,0.0,0.0,0.0
129,-1958.5273306913887,0.0,0.0,0.0,0.0,0.0,0.0
130,-2557.5977801317113,0.0,0.0,0.0,0.0,0.0,0.0
131,-3395.902215045877,0.0,0.0,0.0,0.0,0.0,0.0
132,-3163.727406652751,0.0,0.0,0.0,0.0,0.0,0.0
133,-2582.1757067031403,0.0,0.0,0.0,0.0,0.0,0.0
134,-2128.365153751174,0.0,0.0,0.0,0.0,0.0,0.0
135,-2109.1395000811517,0.0,0.0,0.0,0.0,0.0,0.0
136,-2238.9628747353763,0.0,0.0,0.0,0.0,0.0,0.0
137,-1619.4884649617075,0.0,0.0,0.0,0.0,0.0,0.0
138,-1945.909715000165,0.0,0.0,0.0,0.0,0.0,0.0
139,-2549.267346978614,0.0,0.0,0.0,0.0,0.0,0.0
140,-3371.7863121414557,0.0,0.0,0.0,0.0,0.0,0.0
141,-3139.3296497271235,0.0,0.0,0.0,0.0,0.0,0.0
142,-2643.2799749280516,0.0,0.0,0.0,0.0,0.0,0.0
143,-2129.0612203095416,0.0,0.0,0.0,0.0,0.0,0.0
144,-2068.251783430743,0.0,0.0,0.0,0.0,0.0,0.0
145,-3208.4295114860724,0.0,0.0,0.0,0.0,0.0,0.0
146,-3829.0009701994677,0.0,0.0,0.0,0.0,0.0,0.0
147,-2847.884581423481,0.0,0.0,0.0,0.0,0.0,0.0
148,-2249.1286823321084,0.0,0.0,0.0,0.0,0.0,0.0
149,-1572.4943163077414,0.0,0.0,0.0,0.0,0.0,0.0
150,-1979.724016478925,0.0,0.0,0.0,0.0,0.0,0.0
